ID	Elav_1	Elav_2	Elav_3	Elav_4	Elav_5	Repo_1	Repo_2	Repo_3	Repo_4	Repo_5
CG31794	3104.187528	2817.109644	2469.494431	2120.222564	2241.1135	3061.451261	2005.852769	2418.672971	5367.371382	4672.56818
CG31795	9946.684493	10660.59248	10809.40881	8599.279072	7858.291666	10226.32386	11910.94286	11425.74011	9345.13636	8779.968205
CG31796	54.19169999	64.4451552	53.07645093	61.81992505	66.25695513	55.71523605	79.3412928	69.5510312	196.7200232	78.79324245
CG31797	12.04197398	12.21007367	12.99603834	12.21007367	15.45498126	20.67764529	21.11212657	19.8353232	53.07645093	24.08394796
CG31798	21.70566924	14.52030649	12.72858374	13.92880901	27.28431654	18.25221945	36.50443891	30.90996253	47.50475426	56.88593159
CG3180	75.06143675	160.8977119	53.44562684	42.51794605	39.12448889	21.40684088	22.627417	65.34477605	49.8665331	25.45716748
CG31800	481.0356476	471.1360771	648.0673761	270.5966184	288.0149721	199.4661324	254.2316788	248.9996665	173.6453539	203.6573398
CG31801	13.08643294	10.85283462	10.33882265	11.87618857	11.79415374	15.34822591	13.36140671	12.29500145	29.65081798	21.40684088
CG31802	14.6213032	19.15965927	47.50475426	23.26356028	14.52030649	13.36140671	14.4200074	14.4200074	63.55791971	14.82540899
CG31803	44.63179732	8.456144324	8.6938789	7.412704495	9.579829637	5.464161027	17.1483754	7.310651602	14.2214829	9.382679594
CG31804	11.71268557	11.15794933	8.876555777	11.63178014	11.71268557	9.646462622	15.13692235	11.08087574	37.79176517	17.87659421
CG31805	109.1372661	62.68289905	66.71780869	72.00374302	72.00374302	38.58585049	46.52712055	36.00187151	118.6032719	46.52712055
CG31806	25.63423608	43.41133848	96.33579183	32.2225776	71.50637684	99.7330662	55.71523605	147.0333894	108.3834	36.75834736
CG31807	18.89588258	22.627417	103.2501452	53.07645093	22.16175149	25.10669113	34.53530357	20.96629446	39.6706464	38.31931855
CG31809	29.24260641	25.10669113	20.39297004	28.4429658	37.01402188	28.8400148	29.65081798	40.78594007	86.22294892	32.44670335
CG3181	24.7610399	15.24220797	16.91228865	20.39297004	23.75237713	20.67764529	20.53481436	17.02992292	41.06962872	22.16175149
CG31810	5.278031643	4.924577653	4.0278222	5.169411323	5.502167273	5.028053498	5.314743256	5.351710219	6.320330495	4.823231311
CG31811	2164.772947	2778.325663	3492.392517	3147.520371	2896.309376	2759.134365	2556.580964	1910.851567	1234.747216	2592.269504
CG31812	66.25695513	138.1412143	93.70148454	179.7689441	272.4787667	191.3407038	34.7755156	43.41133848	66.71780869	55.71523605
CG31813	35.75318842	36.75834736	36.50443891	34.7755156	39.6706464	42.51794605	48.50293013	47.50475426	116.9704256	57.68002961
CG31814	103.2501452	199.4661324	143.0127537	268.727471	243.8753275	216.7668	146.0177556	401.7070581	91.77313587	158.6825856
CG31815	35.01739844	82.71058116	121.9376637	24.42014734	37.27147477	47.17661495	94.35322991	33.59093388	13.8325957	37.27147477
CG31816	13.8325957	14.2214829	15.34822591	18.50701094	17.26765178	18.12614216	22.16175149	19.42711815	49.8665331	23.26356028
